K_qnyWYyNTI	Strandstrecke fertigstellen, Karottenrute verzaubern und handeln
2xNJpGY4DZs	Neue Lorenstrecke vom Mining-Hub zum Strand
Jo4V7a-kW6Q	Gelände für einen Neubau vorbereiten – Zeitraffer ohne Kommentar
DFBqiWdaiaw	Schweine reiten und beschleunigen
r71F-3ZmRY8	Zwei weitere Bibliothekare züchten und neue Gehege bauen
87MqomiVYE0	Ausrüstung mit Reparatur bei Witherskeletten instand halten
rP1RTyGA_v4	Antiken Schrott mit TNT im Nether suchen
clJ1Sw0A-20	Eine Zuckerrohrfarm für die Papierherstellung bauen
aoRmyl8Yd7s	Dorfbewohner mit dem Boot zur Händlerhalle bringen
zNIpaxQLYj8	Tipps aus dem Bau von Farm, Bienenstand und Händlerhalle
0NDl2iMcN1Q	Zwei Bienennester zum Mining-Hub umsiedeln
UULfYfdkQao	Bienen, Nester und Bienenstöcke im Update 1.0.2
UURMVHAvQxI	Smaragde für den Dorfbewohnerhandel an Außenposten sammeln
rED-Fi_UuzE	Lorenstrecke verkleiden, Kuh melken und Kuchen backen
pph6zweRBIM	Diamanten mit Glück III abbauen und Lavabecken begegnen
mdvuUsKms5c	Mobfallen, Landschaftsbau und Fortschritte an der Yacht
nPvCDuUDVe4	Yachtbug ändern, Tageslichtsensor und Laufen auf Wasser
hflqAVIxa5c	Rundgang durch die fast fertige Yacht
WMp8cqHs_ps	Reparatur-Verzauberung auf Rüstung anwenden und Erfahrung nutzen
FvRGpWPYcvs	Yachtbau beginnen: der Rumpf
Xf6UG8-Okbw	Quarz für die Yacht mit TNT sammeln, Erfahrung und Antiker Schrott
FwkmIxZ85yQ	Neue Strecke zum Zurücksetzen der Bannerbeleuchtung
ZMYEOyawbP0	Gegenstände aus einem Truhenboot oder Truhenfloß fallen lassen
vvdyO0rgG7k	Ein beleuchtetes Banner für den Mining-Hub
Uz3wMEo86mc	Neue Funktionen: Verzaubern, funktionierende Rahmen und Schilder
VZ28e57gW0c	Fundament für die Minenstrecke im Eisstachel-Biom
sYkP3JUx9fY	Dorfbewohner besuchen und die Reisestrecke beschleunigen
DBsd2Quk2h8	Dorfbewohner ins eigene Haus aufnehmen und kennenlernen
vPvQjZSEBSg	Die erste Mine am Pyramiden-Außenposten beginnen
CPbBw-z4qm4	Seegurken, Kelp und Pflanzen an einer Unterwasserstrecke setzen
lZEyqZYPi1U	Den Turmweg im Eisstachel-Biom in eine Lorenstrecke umbauen
egCOeIdDIeU	Unterirdischen Weg zum Aussichtsturm fertigstellen
xsNmNqdUglA	Einen großen Eisstachel in einen Aussichtsturm verwandeln
JTpe5HPqGA0	Eine Lorenstrecke unter dem Ozean verlegen
DAuMuBtq0oI	Netherportal ins Lager verlegen und Angelteich sichern
7Zcp7yiLJPo	Sicherheitszaun und Eisangelteich im Eisstachel-Lager
KW_o7XweP_c	Eisstachel-Strecke fertigstellen und Schutzhütte bauen
EvG7g8PrvD0	Fortschritte an der 5000-Blöcke-Strecke zum Eisstachel-Biom
PH3OV_CKwfA	Eine Umsteigestation für Loren im Savannen-Biom bauen
38-8n74VPCk	Schwarzeichen ernten und Setzlinge für die Baumfarm sammeln
HU3GmtnvMDU	Baum- und Weizenfarm für Schwarzeichen erweitern
sx1mP0BOR4k	Schildkröten-Schutzgebiet mit einer Lorenstrecke erschließen
R2QiJ2wlyz8	Schildkröten züchten: Eier, Jungtiere und Unterwasseratmung
gZAfmMMYhCg	Spontaner Bergbau bei der Amethystgeode
pwZQdaW9R5Y	Das erste Waldanwesen entdecken und erkunden
TzG4oNgzVbo	Eine Amethystgeode in Mine 3 untersuchen
U4DGUMb11bw	Die Hauptstrecke durch einen Berg verlängern
ow8G89CQUYY	Magmablöcke im Nether sammeln
O4kGXnvSSqU	Mine 3 bauen, einrichten und per Lore erschließen
TTRDGL4HTmA	Die Lorenstrecke zu Mine 1 fertigstellen
rDMSPi5L2Ls	Tunnel und Lorenstrecke für Mine 1 bauen
FMXzdpp5CEs	Mine 2 nachbearbeiten und Diamanten sammeln
wNm8GVnScLM	Mine 2 mit einer angetriebenen Lorenstrecke erschließen
No6ckYyMRRc	Einen Schienenring zum Savannen-Außenposten bauen
8vjL_GVHI40	Eine kleine Baum- und Weizenfarm bauen und bepflanzen
